,keras,hex,aims_category,keras_category,torch_category,docs,description
108,StackedRNNCells,#f1e2cc,Sequential,Recurrent Layers,,https://www.tensorflow.org/api_docs/python/tf/keras/layers/StackedRNNCells,Wrapper allowing a stack of RNN cells to behave as a single cell.
109,StringLookup,,Preprocessing,Preprocessing Layers,,https://keras.io/api/layers/preprocessing_layers/categorical/string_lookup/,"A preprocessing layer which maps string features to integer indices. This layer translates a set of arbitrary strings into integer output via a table-based vocabulary lookup. This layer will perform no splitting or transformation of input strings. For a layer than can split and tokenize natural language, see the TextVectorization layer."
110,Subtract,,Tensor operation,Merging Layer,,https://keras.io/api/layers/merging_layers/subtract/,"Layer that subtracts two inputs. It takes as input a list of tensors of size 2, both of the same shape, and returns a single tensor, (inputs[0] - inputs[1]), also of the same shape."
111,TextVectorization,,Preprocessing,Preprocessing Layers,,https://keras.io/api/layers/preprocessing_layers/core_preprocessing_layers/text_vectorization/,Text vectorization layer. This layer has basic options for managing text in a Keras model. It transforms a batch of strings (one sample = one string) into either a list of token indices (one sample = 1D tensor of integer token indices) or a dense representation (one sample = 1D tensor of float values representing data about the sample's tokens).
112,TimeDistributed,#f1e2cc,Sequential,Recurrent Layers,,https://keras.io/api/layers/recurrent_layers/time_distributed/,"This wrapper allows to apply a layer to every temporal slice of an input. Every input should be at least 3D, and the dimension of index one of the first input will be considered to be the temporal dimension."
113,UpSampling1D,,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/up_sampling1d/,Upsampling layer for 1D inputs. Repeats each temporal step size times along the time axis.
114,UpSampling2D,,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/up_sampling2d/,Upsampling layer for 2D inputs. Repeats the rows and columns of the data by size[0] and size[1] respectively.
115,UpSampling3D,,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/up_sampling3d/,"Upsampling layer for 3D inputs. Repeats the 1st, 2nd and 3rd dimensions of the data by size[0], size[1] and size[2] respectively."
116,Wrapper,,,,,https://www.tensorflow.org/api_docs/python/tf/keras/layers/Wrapper,"Wrappers take another layer and augment it in various ways. Do not use this class as a layer, it is only an abstract base class. Two usable wrappers are the TimeDistributed and Bidirectional wrappers."
117,ZeroPadding1D,#cccccc,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/zero_padding1d/,Zero-padding layer for 1D input (e.g. temporal sequence).
118,ZeroPadding2D,#cccccc,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/zero_padding2d/,"Zero-padding layer for 2D input (e.g. picture). This layer can add rows and columns of zeros at the top, bottom, left and right side of an image tensor."
119,ZeroPadding3D,#cccccc,Tensor operation,Reshaping Layer,,https://keras.io/api/layers/reshaping_layers/zero_padding3d/,Zero-padding layer for 3D data (spatial or spatio-temporal).
